ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
3800992.0,Finished,2 décembre 2021  6:00 ,2 décembre 2021  7:23 ,82.0,17.07,2.44,0.73,0.98,0.24,0.00,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28705217.0,Finished,29 novembre 2021  4:31 ,29 novembre 2021  5:12 ,41.65,15.61,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,2.68,0.24,5.85,0.98
28600503.0,Finished,2 décembre 2021  6:00 ,2 décembre 2021  6:44 ,43.85,16.10,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
3801541.0,Finished,29 novembre 2021  4:11 ,29 novembre 2021  5:43 ,91.0,16.59,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.39,0.00,5.85,0.98
28600456.0,Finished,1 décembre 2021  11:00 ,1 décembre 2021  12:45 ,105.0,6.59,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.00,1.22,-,-,-
28600456.0,Finished,1 décembre 2021  12:52 ,1 décembre 2021  2:37 ,105.0,3.90,2.20,0.73,0.98,-,-,-,-,-,-,-,-,-
28603688.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:26 ,72.0,10.73,0.73,0.00,0.98,0.24,0.24,-,0.49,0.00,4.15,-,3.90,0.00
28606345.0,Finished,1 décembre 2021  10:59 ,1 décembre 2021  12:25 ,85.0,17.32,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
3811248.0,Finished,29 novembre 2021  4:25 ,29 novembre 2021  5:48 ,82.0,16.10,2.20,0.73,0.98,0.24,0.00,0.24,0.49,0.00,4.39,0.00,5.85,0.98
28600150.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:31 ,92.0,15.61,1.95,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
3800191.0,Finished,30 novembre 2021  6:00 ,30 novembre 2021  6:37 ,37.18,13.90,2.20,0.73,0.98,0.24,0.24,0.00,0.49,0.00,3.17,0.00,4.88,0.98
28606994.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:26 ,88.0,16.10,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,3.66,0.24,5.85,0.98
28600693.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:22 ,69.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28607704.0,Finished,29 novembre 2021  4:01 ,29 novembre 2021  5:15 ,74.0,15.61,2.44,0.49,0.98,0.24,0.24,0.24,0.49,0.00,3.66,0.00,5.85,0.98
3970759.0,Finished,29 novembre 2021  4:11 ,29 novembre 2021  5:08 ,57.03,13.90,2.20,0.24,0.73,0.24,0.24,0.24,0.49,0.00,4.63,0.00,4.88,0.00
3803083.0,Finished,2 décembre 2021  6:12 ,2 décembre 2021  6:54 ,41.63,16.59,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.15,0.24,5.85,0.98
28601285.0,Finished,29 novembre 2021  4:17 ,29 novembre 2021  5:43 ,85.0,16.83,2.20,0.49,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3680880.0,Finished,30 novembre 2021  4:13 ,30 novembre 2021  5:04 ,51.65,17.80,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,6.83,0.98
21101133.0,Finished,2 décembre 2021  5:59 ,2 décembre 2021  6:31 ,32.38,16.83,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
3703980.0,Finished,3 décembre 2021  10:56 ,3 décembre 2021  12:02 ,66.0,14.88,1.46,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.00
