ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.00,Q. 3 /0.35,Q. 4 /2.11,Q. 5 /0.35,Q. 6 /4.21,Q. 7 /0.35,Q. 8 /4.91,Q. 9 /1.05,Q. 10 /3.16,Q. 11 /3.51
3800191.0,Finished,20 septembre 2021  4:27 ,20 septembre 2021  5:16 ,49.02,18.95,-,-,0.35,1.40,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28600741.0,Finished,20 septembre 2021  4:24 ,20 septembre 2021  5:35 ,70.0,17.54,-,-,0.35,2.11,0.35,4.21,0.35,4.21,0.70,3.16,2.11
28606994.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:43 ,45.52,17.93,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,1.75
21107392.0,Finished,20 septembre 2021  4:12 ,20 septembre 2021  5:11 ,58.63,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21113585.0,Finished,23 septembre 2021  6:02 ,23 septembre 2021  6:35 ,32.93,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607755.0,Finished,22 septembre 2021  10:55 ,22 septembre 2021  11:43 ,48.2,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28600693.0,Finished,21 septembre 2021  4:31 ,21 septembre 2021  5:40 ,68.0,18.28,-,-,0.35,2.11,0.35,4.21,0.35,3.86,1.05,2.84,3.16
28601765.0,Finished,20 septembre 2021  4:28 ,20 septembre 2021  5:19 ,51.35,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3803083.0,Finished,23 septembre 2021  6:08 ,23 septembre 2021  6:58 ,50.47,17.54,-,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,1.75
28601285.0,Finished,20 septembre 2021  4:09 ,20 septembre 2021  5:03 ,54.2,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21101133.0,Finished,23 septembre 2021  6:01 ,23 septembre 2021  6:44 ,42.65,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3703980.0,Finished,24 septembre 2021  11:13 ,24 septembre 2021  11:58 ,45.05,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
