ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.05,Q. 2 /1.58,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /1.58,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /1.58,Q. 10 /1.05,Q. 11 /3.68,Q. 12 /0.53,Q. 13 /4.21,Q. 14 /2.11
3802432.0,Finished,11 December 2020  4:01 PM,11 December 2020  5:33 PM,92.0,11.05,0.53,0.53,0.53,0.53,0.53,1.58,0.53,0.00,1.58,1.05,0.53,0.53,2.63,0.00
3700421.0,Finished,10 December 2020  10:58 AM,10 December 2020  12:28 PM,89.0,11.05,0.00,0.00,0.53,-,0.53,1.05,0.53,0.00,1.05,1.05,2.63,0.53,3.16,0.00
3971668.0,Finished,11 December 2020  4:37 PM,11 December 2020  5:59 PM,81.0,13.16,0.53,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3700479.0,Finished,10 December 2020  4:44 PM,10 December 2020  6:30 PM,105.0,10.53,0.00,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,0.00,0.53,2.63,2.11
3700615.0,Finished,11 December 2020  4:27 PM,11 December 2020  5:43 PM,75.0,14.21,0.53,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,3.16,0.00
3522190.0,Finished,11 December 2020  10:43 AM,11 December 2020  12:17 PM,93.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3201218.0,Finished,11 December 2020  5:25 PM,11 December 2020  6:03 PM,37.18,10.53,0.00,0.00,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,-,0.53,2.63,2.11
3803950.0,Finished,11 December 2020  5:52 PM,11 December 2020  6:44 PM,52.27,12.63,0.53,1.05,0.53,0.53,0.00,1.05,0.53,0.53,0.53,1.05,3.16,0.53,2.63,0.00
3874897.0,Finished,7 December 2020  6:04 PM,7 December 2020  7:35 PM,90.0,12.11,1.05,0.53,0.53,0.00,0.53,1.05,0.53,0.53,0.53,1.05,2.11,0.53,3.16,0.00
3700041.0,Finished,11 December 2020  2:49 PM,11 December 2020  2:56 PM,6.87,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3803611.0,Finished,11 December 2020  4:14 PM,11 December 2020  5:45 PM,91.0,15.26,0.53,0.53,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
28502791.0,Finished,11 December 2020  12:07 PM,11 December 2020  12:13 PM,6.05,10.00,0.00,0.00,0.53,0.00,0.00,1.05,0.53,0.53,1.05,1.05,-,0.53,2.63,2.11
3971165.0,Finished,11 December 2020  11:15 AM,11 December 2020  12:09 PM,54.15,13.16,0.00,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3802558.0,Finished,11 December 2020  1:59 PM,11 December 2020  3:11 PM,72.0,15.79,1.05,1.05,0.53,0.00,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,2.11
