ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3705179.0,Finished,27 September 2020  10:15 PM,27 September 2020  11:34 PM,78.0,17.65,2.94,2.35,0.59,0.00,7.06,1.18,2.35,1.18
3802257.0,Finished,27 September 2020  5:08 PM,27 September 2020  5:46 PM,37.43,10.59,1.18,0.59,0.00,0.00,7.06,0.00,1.18,0.59
3706599.0,Finished,25 September 2020  4:41 PM,25 September 2020  6:34 PM,113.0,12.35,1.76,1.18,0.59,0.59,7.06,0.00,1.18,0.00
28712991.0,Finished,27 September 2020  5:00 PM,27 September 2020  6:34 PM,93.0,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
28504995.0,Finished,24 September 2020  12:01 PM,24 September 2020  12:53 PM,51.67,8.82,3.53,2.94,0.00,0.00,1.76,0.00,0.59,0.00
3520624.0,Finished,22 September 2020  1:51 PM,22 September 2020  3:41 PM,109.0,9.41,2.94,2.35,0.59,0.00,-,1.18,2.35,0.00
3971141.0,Finished,27 September 2020  4:43 PM,27 September 2020  6:43 PM,120.0,7.65,0.00,0.00,0.59,0.00,4.12,1.18,0.59,1.18
3707173.0,Finished,27 September 2020  10:41 PM,27 September 2020  11:01 PM,20.07,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3801173.0,Finished,22 September 2020  12:44 PM,22 September 2020  2:15 PM,91.0,14.71,1.18,1.76,0.59,0.00,7.06,1.18,1.76,1.18
28613397.0,Finished,21 September 2020  10:09 PM,21 September 2020  11:40 PM,91.0,18.82,3.53,2.94,0.59,0.59,7.06,1.18,2.35,0.59
3875020.0,Finished,26 September 2020  11:55 PM,27 September 2020  1:20 AM,84.0,16.47,3.53,0.59,0.59,0.59,7.06,1.18,1.76,1.18
3702867.0,Finished,23 September 2020  9:28 AM,23 September 2020  11:22 AM,114.0,5.88,1.18,0.59,0.59,0.00,3.53,-,-,-
3708077.0,Finished,27 September 2020  3:10 PM,27 September 2020  4:48 PM,97.0,6.47,1.18,1.76,0.00,0.00,-,1.18,1.76,0.59
3800422.0,Finished,22 September 2020  5:07 PM,22 September 2020  6:56 PM,109.0,16.47,3.53,2.94,0.59,0.00,7.06,1.18,0.59,0.59
3309154.0,Finished,28 September 2020  8:43 AM,28 September 2020  10:41 AM,118.0,3.53,0.59,0.59,0.00,0.00,2.35,-,-,-
3700421.0,Finished,22 September 2020  11:31 AM,22 September 2020  1:13 PM,101.0,8.24,0.00,0.00,0.00,0.00,4.71,1.18,1.18,1.18
3971668.0,Finished,27 September 2020  10:10 PM,27 September 2020  11:41 PM,91.0,14.71,1.76,1.18,0.00,0.00,7.06,1.18,2.35,1.18
3700479.0,Finished,24 September 2020  5:25 PM,24 September 2020  6:09 PM,44.23,15.29,1.76,2.94,0.00,0.00,7.06,1.18,1.76,0.59
3700615.0,Finished,27 September 2020  9:20 PM,27 September 2020  10:14 PM,53.65,18.24,3.53,2.94,0.59,0.00,7.06,1.18,2.35,0.59
3522190.0,Finished,26 September 2020  1:54 PM,26 September 2020  3:26 PM,92.0,10.59,0.59,0.59,0.00,0.00,7.06,1.18,1.18,0.00
3201218.0,Finished,27 September 2020  10:07 PM,27 September 2020  11:31 PM,84.0,14.71,2.35,0.59,0.59,0.00,7.06,0.59,2.35,1.18
3803950.0,Finished,28 September 2020  12:18 AM,28 September 2020  12:58 AM,40.38,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3874897.0,Finished,27 September 2020  11:33 PM,28 September 2020  12:04 AM,30.3,8.82,1.18,1.76,0.00,0.00,5.29,0.59,0.00,0.00
3700041.0,Finished,23 September 2020  12:27 PM,23 September 2020  12:56 PM,29.15,12.35,0.00,0.59,0.59,0.59,7.06,1.18,1.76,0.59
3803611.0,Finished,28 September 2020  8:44 AM,28 September 2020  9:41 AM,56.87,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
28502791.0,Finished,25 September 2020  5:03 PM,25 September 2020  5:52 PM,48.87,11.76,1.18,1.18,0.00,0.00,7.06,0.59,1.76,0.00
3971165.0,Finished,28 September 2020  10:30 AM,28 September 2020  10:35 AM,5.38,15.29,1.76,1.18,0.59,0.00,7.06,1.18,2.35,1.18
3800646.0,Finished,25 September 2020  3:04 PM,25 September 2020  3:52 PM,48.38,12.94,1.76,0.59,0.00,0.00,7.06,1.18,2.35,-
3802558.0,Finished,28 September 2020  12:25 AM,28 September 2020  1:35 AM,70.0,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3670527.0,Finished,26 September 2020  4:27 PM,26 September 2020  5:40 PM,73.0,9.41,0.00,0.59,0.00,0.00,7.06,1.18,0.59,0.00
3700191.0,Finished,21 September 2020  7:07 PM,21 September 2020  8:38 PM,90.0,17.06,1.76,2.94,0.59,0.59,7.06,1.18,1.76,1.18
3803468.0,Finished,28 September 2020  8:34 AM,28 September 2020  9:21 AM,46.85,17.65,3.53,2.35,0.59,0.00,7.06,1.18,1.76,1.18
3802500.0,Finished,28 September 2020  12:36 AM,28 September 2020  2:08 AM,92.0,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
