State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
Finished,26 November 2022  4:40 PM,26 November 2022  5:28 PM,47 mins 58 secs,11.39,3.89,3.33,0.00,4.17
Finished,26 November 2022  4:40 PM,26 November 2022  5:21 PM,40 mins 33 secs,15.83,5.00,3.33,2.50,5.00
Finished,26 November 2022  4:40 PM,26 November 2022  5:40 PM,1 hour,11.11,2.78,3.33,2.50,2.50
Finished,26 November 2022  4:42 PM,26 November 2022  6:10 PM,1 hour 27 mins,10.56,3.89,0.00,2.50,4.17
Finished,26 November 2022  4:43 PM,26 November 2022  4:55 PM,12 mins 11 secs,14.17,5.00,3.33,2.50,3.33
Finished,26 November 2022  4:45 PM,26 November 2022  6:30 PM,1 hour 44 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  4:47 PM,26 November 2022  6:12 PM,1 hour 24 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  4:47 PM,26 November 2022  5:16 PM,28 mins 53 secs,12.22,2.22,3.33,2.50,4.17
Finished,26 November 2022  4:48 PM,26 November 2022  6:30 PM,1 hour 41 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  4:50 PM,26 November 2022  6:30 PM,1 hour 39 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  4:50 PM,26 November 2022  5:59 PM,1 hour 9 mins,8.89,3.89,3.33,0.00,1.67
Finished,26 November 2022  4:51 PM,26 November 2022  6:30 PM,1 hour 38 mins,0.00,-,-,-,-
Finished,26 November 2022  4:57 PM,26 November 2022  6:30 PM,1 hour 32 mins,8.33,1.67,1.67,2.50,2.50
Finished,26 November 2022  4:57 PM,26 November 2022  5:24 PM,27 mins 11 secs,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  5:08 PM,26 November 2022  6:12 PM,1 hour 4 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  5:10 PM,26 November 2022  6:11 PM,1 hour 1 min,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  5:12 PM,26 November 2022  5:56 PM,43 mins 32 secs,18.33,5.00,3.33,5.00,5.00
Finished,26 November 2022  5:16 PM,26 November 2022  6:14 PM,58 mins 21 secs,16.67,5.00,5.00,2.50,4.17
Finished,26 November 2022  5:17 PM,26 November 2022  5:46 PM,29 mins 19 secs,14.44,4.44,3.33,2.50,4.17
Finished,26 November 2022  5:17 PM,26 November 2022  5:54 PM,37 mins 6 secs,14.72,4.72,3.33,2.50,4.17
Finished,26 November 2022  5:26 PM,26 November 2022  6:29 PM,1 hour 2 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  5:38 PM,26 November 2022  6:30 PM,51 mins 4 secs,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  5:40 PM,26 November 2022  6:29 PM,49 mins 29 secs,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  5:45 PM,26 November 2022  6:26 PM,41 mins 11 secs,14.17,5.00,3.33,2.50,3.33
Finished,26 November 2022  5:57 PM,26 November 2022  6:11 PM,14 mins 12 secs,12.22,4.72,3.33,2.50,1.67
Finished,26 November 2022  6:04 PM,26 November 2022  6:25 PM,21 mins 38 secs,11.67,5.00,0.00,2.50,4.17
Finished,26 November 2022  6:05 PM,26 November 2022  6:30 PM,24 mins 48 secs,6.11,2.78,3.33,0.00,-
Finished,27 November 2022  12:57 PM,27 November 2022  2:57 PM,2 hours,2.22,2.22,0.00,0.00,0.00
Finished,27 November 2022  2:12 PM,27 November 2022  2:31 PM,18 mins 59 secs,16.67,5.00,5.00,2.50,4.17
