State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,29 October 2022  5:02 PM,29 October 2022  5:24 PM,22,20.00,20.00
Finished,29 October 2022  5:02 PM,29 October 2022  5:31 PM,29,17.33,17.33
Finished,29 October 2022  5:07 PM,29 October 2022  6:03 PM,56,18.00,18.00
Finished,29 October 2022  5:08 PM,29 October 2022  6:35 PM,86,20.00,20.00
Finished,29 October 2022  5:10 PM,29 October 2022  5:22 PM,12,16.67,16.67
Finished,29 October 2022  5:18 PM,29 October 2022  6:02 PM,43,20.00,20.00
Finished,29 October 2022  5:18 PM,29 October 2022  5:25 PM,7,18.00,18.00
Finished,29 October 2022  5:22 PM,29 October 2022  6:28 PM,66,20.00,20.00
Finished,29 October 2022  5:23 PM,29 October 2022  7:23 PM,120,16.00,16.00
Finished,29 October 2022  5:28 PM,29 October 2022  6:00 PM,33,16.00,16.00
Finished,29 October 2022  5:30 PM,29 October 2022  5:49 PM,19,20.00,20.00
Finished,29 October 2022  5:32 PM,29 October 2022  6:11 PM,39,7.33,7.33
Finished,29 October 2022  5:32 PM,29 October 2022  5:57 PM,25,18.67,18.67
Finished,29 October 2022  5:38 PM,29 October 2022  6:46 PM,68,16.67,16.67
Finished,29 October 2022  5:40 PM,29 October 2022  6:02 PM,22,15.33,15.33
Finished,29 October 2022  5:46 PM,29 October 2022  6:16 PM,30,20.00,20.00
Finished,29 October 2022  5:48 PM,29 October 2022  6:05 PM,17,20.00,20.00
Finished,29 October 2022  5:51 PM,29 October 2022  6:31 PM,40,20.00,20.00
Finished,29 October 2022  5:52 PM,29 October 2022  6:03 PM,11,17.33,17.33
Finished,29 October 2022  6:10 PM,29 October 2022  6:36 PM,25,20.00,20.00
Finished,29 October 2022  6:21 PM,29 October 2022  6:32 PM,11,17.33,17.33
Finished,29 October 2022  6:24 PM,29 October 2022  6:38 PM,14,17.33,17.33
Finished,29 October 2022  7:14 PM,29 October 2022  7:25 PM,11,18.67,18.67
Finished,29 October 2022  7:20 PM,29 October 2022  8:05 PM,45,20.00,20.00
Finished,29 October 2022  7:20 PM,29 October 2022  8:04 PM,44,20.00,20.00
Finished,29 October 2022  7:41 PM,29 October 2022  8:10 PM,29,17.33,17.33
Finished,29 October 2022  11:56 PM,30 October 2022  12:16 AM,20,20.00,20.00
Finished,30 October 2022  12:01 AM,30 October 2022  1:57 AM,115,16.00,16.00
Finished,30 October 2022  5:36 AM,30 October 2022  5:51 AM,15,20.00,20.00
Finished,30 October 2022  10:33 AM,30 October 2022  11:07 AM,34,17.33,17.33
Finished,30 October 2022  11:06 AM,30 October 2022  11:21 AM,15,17.33,17.33
Finished,30 October 2022  11:08 AM,30 October 2022  11:52 AM,44,20.00,20.00
Finished,30 October 2022  11:08 AM,30 October 2022  12:15 PM,66,20.00,20.00
Finished,30 October 2022  11:08 AM,30 October 2022  11:55 AM,47,20.00,20.00
Finished,30 October 2022  11:48 AM,30 October 2022  12:10 PM,21,18.67,18.67
Finished,30 October 2022  3:00 PM,30 October 2022  3:15 PM,15,17.33,17.33
Finished,30 October 2022  3:41 PM,30 October 2022  3:49 PM,8,17.33,17.33
Finished,30 October 2022  3:46 PM,30 October 2022  4:40 PM,54,18.67,18.67
Finished,30 October 2022  3:55 PM,30 October 2022  5:20 PM,84,16.67,16.67
Finished,30 October 2022  4:07 PM,30 October 2022  4:41 PM,33,17.33,17.33
Finished,30 October 2022  4:27 PM,30 October 2022  4:32 PM,5,20.00,20.00
Finished,30 October 2022  4:28 PM,30 October 2022  4:58 PM,29,14.67,14.67
Finished,30 October 2022  5:10 PM,30 October 2022  5:25 PM,15,19.33,19.33
Finished,30 October 2022  5:31 PM,30 October 2022  6:03 PM,32,10.67,10.67
